Status,,,,
,Manhwa Name,Chapters,Status,Link 
END,,,,
,                                        Solo Levelling,200,END,
,Solo Auto Hunting,92,END,
,Max Level Returner,200,END,
,Kill The Hero,152,END,
,Return of 8th Class Magician,81,END,
,The Live,176,END,
,Rebirth of 8 Circled Magician,160,END,
,Immortal Emperor Luo Wuji,248,END,
,Return of the Immortal Emperor,387,END,
,Strongest Fighter,118,END,
,Heavenly Demon Instructor,105,END,
,Updater,136,END,
,Moohkang the Origin,47,END,
,An Hour of Romance,175,END,
,Seoul Station Necromancer,150,END,
,Is This Hero For Real,101,END,
,Perfect Surgeon,117,END,
,Level Up Doctor,110,END,
,A Returner's Magic Should Be Special,268,END,
,The Legend of Northern Blade,202,END,
,Limit Breaker,187,END,https://mangafire.to/manga/limit-breakerr.3r9m9
,Volcanic Age,303,END,https://mangafire.to/manga/volcanic-agee.m22l8
,990k Ex-Life Hunter,110,END,https://mangafire.to/manga/990k-ex-life-hunterr.52x30
,Medical Return,148,END,
,I'm the Only One With Genius DNA,120,END,https://mangafire.to/manga/im-the-only-one-with-genius-dnaa.pj4jj
,Quest Supremacy,174,END,https://mangafire.to/manga/quest-jisangjuuii.z172w
,Rise from the Rubble,320,END,https://mangafire.to/read/rise-from-the-rubblee.kkxqv/en/chapter-320
,Advanced Player,223,END,
,the strongest on history,188,END,
,I Regressed to My Ruined Family,89,END,https://mangafire.to/manga/when-i-returned-home-my-family-was-ruinedd.kkyjr
,I'll Be a Villain in This Life,50,END,https://mangafire.to/manga/this-life-as-a-villainn.oxvjj
,Rooftop Sword Master,105,END,https://mangafire.to/manga/rooftop-sword-masterr.ojpjy
,King of the mound ,77,END,https://mangafire.to/manga/absolute-on-the-moundd.xvxxz
,Becoming a monarch,153,END,
,The President's Special Instructions,110,END,https://mangafire.to/manga/the-presidents-special-orderr.7wn2j
,Champion's Path to Murim,50,END,https://mangafire.to/manga/gyeoktu-champion-murime-gadaa.ox3yy
,Maxed Out Levelling,103,END,https://mangafire.to/manga/mallepbuteo-level-upp.6l5o4
,Druid of Seoul Station,207,END,https://mangafire.to/manga/seoulyeok-druidd.3rnl8
,I Became a Renowned Family Sword Prodigy,173,END,https://mangafire.to/manga/full-moon-o-sagashitee.jjzm8
,Boundless Necromancer,177,END,https://comix.to/title/yml61-boundless-necromancer
,Be the Actor,140,END,https://mangafire.to/manga/be-the-actorr.297j0
